run	SigmaE	leaves	SigmaLeafE	integration	share	multiplier	modules	branches	C6mean	toolUses	protocol
HA-1	1373.59	51	895.86	477.73	34.8	1.533	11	5	6.2	2	BROKEN-C1: 8 leaves M>10, up to M=30
HA-2	329.52	42	250.80	78.72	23.9	1.314	13	5	0.52	4	BROKEN-C3: top assembly node dropped
HA-3	741.40	51	529.50	211.90	28.6	1.400	15	4	2.3	3	BROKEN-C3: module nodes dropped; C1: 5 leaves M>10
HA-4	447.89	38	352.32	95.57	21.4	1.271	9	5	-0.64	1	BROKEN-C1+C3; instrument readings self-report FALSE
HA-5	577.28	68	378.40	198.88	34.4	1.526	15	5	-2.96	5	clean
